,0,1,2,3
0,6.725,-0.228,2.053,2.747
1,4.911,1.37,2.427,3.48
2,7.539,0.367,0.238,3.103
3,5.114,0.631,2.599,1.235
4,5.606,0.92,1.233,2.381
5,6.684,1.867,0.487,3.103
6,6.63,-0.033,1.256,2.485
7,5.62,1.279,0.719,2.024
8,7.319,0.878,-0.2,3.411
9,7.327,1.627,1.323,3.535
10,6.223,2.695,3.045,1.519
11,6.995,2.752,3.443,2.059
12,7.682,3.33,3.788,2.412
13,6.102,3.548,4.286,1.669
14,4.975,4.105,2.87,0.716
15,7.26,2.969,2.433,2.124
16,6.682,4.168,3.902,2.512
17,5.231,3.953,2.823,3.39
18,4.777,2.765,2.424,0.668
19,6.33,2.306,2.611,2.293
20,5.776,3.793,1.577,2.073
21,5.258,4.234,0.986,1.335
22,5.729,4.066,2.504,2.004
23,6.301,2.823,2.167,-0.245
24,6.251,2.819,2.818,0.271
25,4.717,2.748,2.42,1.919
26,6.504,1.46,2.397,0.588
27,5.473,2.872,1.335,-0.221
28,6.945,2.981,1.311,0.636
29,5.995,3.991,2.752,1.97
30,3.157,2.415,2.794,5.005
31,5.425,2.202,1.771,6.799
32,3.685,1.906,0.817,4.779
33,4.497,3.122,0.631,5.825
34,4.709,2.033,1.634,4.828
35,6.18,2.709,3.296,5.466
36,3.185,2.511,1.448,3.698
37,3.672,3.256,1.16,4.113
38,4.404,1.972,0.109,4.914
39,2.805,2.528,1.703,6.02
40,4.714,2.971,1.351,3.674
41,5.15,2.627,1.751,3.826
42,4.947,2.996,3.221,4.538
43,4.172,3.439,2.285,4.139
44,3.333,2.129,2.579,4.947
45,3.205,2.341,1.254,5.671
46,3.377,3.691,2.262,4.483
47,3.872,1.44,1.755,4.801
48,4.634,1.891,1.989,5.051
49,1.392,4.04,1.667,5.475
50,3.736,3.538,3.017,9.053
51,5.541,3.521,2.866,7.413
52,3.994,2.543,2.906,8.959
53,4.534,4.304,3.804,7.572
54,4.755,4.123,3.026,8.228
55,5.27,3.379,2.339,9.144
56,3.333,4.329,2.627,6.877
57,4.14,3.783,2.151,6.287
58,3.903,3.536,2.547,8.139
59,3.752,3.42,2.457,8.03
60,6.809,4.39,3.165,2.157
61,7.332,5.541,3.998,0.401
62,6.367,6.651,3.357,1.222
63,7.032,4.942,2.742,0.811
64,5.516,5.122,4.054,1.454
65,8.137,5.519,4.174,-0.166
66,7.177,4.611,3.428,0.812
67,6.497,6.717,3.248,0.625
68,7.823,5.38,3.621,1.452
69,6.84,4.061,3.642,1.122
70,8.216,6.418,3.396,2.226
71,8.711,4.556,4.581,0.158
72,7.095,5.026,3.434,0.95
73,8.31,4.374,2.455,0.312
74,8.802,4.952,3.719,0.873
75,8.842,4.427,4.555,1.72
76,6.461,4.662,4.568,0.675
77,9.665,5.054,3.861,1.673
78,8.122,5.228,3.717,2.165
79,7.198,4.65,4.754,1.086
80,2.491,7.612,6.22,4.91
81,3.177,7.776,6.487,6.368
82,5.544,8.44,7.719,5.474
83,3.78,8.833,7.503,6.046
84,5.368,6.74,5.834,5.547
85,5.099,7.035,7.27,7.786
86,4.323,8.716,7.192,6.343
87,4.87,6.493,7.54,6.076
88,3.796,6.376,7.727,6.207
89,3.791,8.506,6.67,5.302
90,3.345,8.931,6.489,6.077
91,4.1,8.768,6.007,6.595
92,3.27,6.891,7.159,5.244
93,5.307,8.281,5.286,4.59
94,4.118,6.506,5.536,6.747
95,3.846,8.004,6.93,5.492
96,4.235,8.963,5.963,5.378
97,5.644,8.878,8.604,6.641
98,3.643,7.959,7.358,6.49
99,3.136,7.37,6.601,5.771
