,0,1,2,3
0,6.678,1.28,1.568,2.593
1,6.525,2.163,1.171,2.115
2,5.969,1.176,2.17,3.022
3,5.459,0.78,1.488,2.323
4,5.779,1.085,0.497,2.412
5,5.349,1.82,2.217,2.056
6,4.538,1.918,-0.19,2.539
7,6.157,1.338,1.386,3.688
8,5.182,1.602,1.688,3.856
9,5.762,1.48,1.856,3.03
10,5.49,2.929,2.178,1.052
11,6.742,4.23,2.258,1.34
12,6.979,2.882,2.948,3.687
13,6.651,2.908,2.509,1.655
14,5.591,2.088,3.663,2.252
15,6.405,2.801,3.181,1.876
16,7.504,1.84,3.613,2.88
17,4.442,3.346,1.833,1.576
18,5.792,3.173,2.977,3.07
19,7.134,2.01,4.069,1.512
20,6.829,3.14,2.493,1.391
21,5.394,2.81,1.99,0.902
22,5.349,3.935,1.027,1.601
23,5.687,3.535,0.791,0.71
24,7.145,2.386,0.787,0.778
25,6.296,2.676,3.117,1.808
26,5.321,3.508,3.095,-0.23
27,6.419,3.393,2.64,1.793
28,4.307,3.431,1.726,1.582
29,5.411,2.866,1.844,1.471
30,4.536,2.855,1.432,3.494
31,2.378,2.2,2.75,5.857
32,4.053,4.374,3.227,4.21
33,4.169,2.325,1.101,3.793
34,3.714,3.892,1.887,4.214
35,4.81,2.989,2.42,3.993
36,3.175,4.328,1.691,6.495
37,3.204,3.402,1.969,5.332
38,4.77,2.714,3.799,5.124
39,3.856,3.384,1.235,4.262
40,3.78,3.571,2.781,4.541
41,4.533,3.034,1.89,5.631
42,4.321,2.907,1.972,5.103
43,5.545,3.266,1.866,5.23
44,4.434,2.213,1.95,4.206
45,4.229,2.929,1.519,3.691
46,3.09,5.779,1.457,4.786
47,3.962,2.236,0.882,5.725
48,3.09,2.938,3.334,5.603
49,4.542,2.781,1.681,3.959
50,6.576,1.334,1.243,4.124
51,6.871,1.868,0.838,1.843
52,5.621,-0.191,-0.365,1.933
53,6.274,1.804,2.766,3.266
54,5.057,2.446,2.267,4.323
55,5.592,0.488,1.608,2.767
56,6.239,1.48,1.177,3.452
57,6.69,2.312,0.313,3.968
58,5.849,1.24,1.489,3.299
59,5.013,0.678,0.881,2.796
60,6.653,-0.439,-0.156,3.438
61,5.133,0.193,2.352,1.7
62,4.841,1.43,1.182,2.572
63,5.202,2.086,0.959,4.694
64,5.368,0.836,2.243,2.413
65,6.542,0.924,0.113,3.357
66,4.7,0.328,1.039,4.093
67,6.273,1.016,0.354,4.127
68,7.611,0.267,1.311,3.633
69,5.779,0.795,0.415,3.577
70,5.355,2.276,3.413,0.987
71,6.963,1.319,3.738,3.415
72,5.342,3.319,2.59,2.109
73,5.902,3.369,1.213,2.021
74,4.278,3.944,3.197,2.788
75,5.658,2.329,2.776,2.906
76,4.818,1.223,2.334,2.163
77,6.251,4.051,3.073,2.093
78,5.866,3.747,2.289,1.899
79,5.297,2.867,3.029,2.255
80,7.999,3.5,2.62,1.058
81,5.112,3.481,1.398,1.239
82,6.273,3.151,4.71,1.883
83,7.267,3.641,2.907,2.835
84,6.826,3.634,1.878,2.121
85,7.244,3.041,3.551,1.266
86,4.195,2.796,2.876,2.01
87,5.947,3.294,3.855,2.324
88,6.361,2.974,2.028,1.525
89,4.176,2.124,4.167,2.648
90,4.781,3.411,0.635,1.202
91,5.722,2.913,0.179,1.56
92,4.852,2.703,1.13,1.098
93,5.317,2.285,1.696,1.449
94,5.97,3.888,1.779,0.645
95,6.252,2.709,1.258,-0.15
96,4.362,3.286,0.58,1.191
97,5.763,3.405,3.054,1.987
98,4.618,3.359,3.664,1.968
99,5.9,2.092,2.702,2.271
100,6.883,0.12,0.487,3.091
101,4.465,1.72,1.766,3.997
102,5.176,0.862,0.831,1.735
103,4.439,1.021,0.801,2.751
104,5.422,1.717,1.026,4.424
105,5.582,-0.363,1.911,3.736
106,7.003,1.479,0.261,4.062
107,6.658,1.189,-0.223,2.002
108,5.785,0.575,0.681,2.553
109,5.521,1.754,1.268,4.044
110,6.301,1.286,4.226,2.834
111,5.443,3.558,3.802,1.569
112,5.771,3.109,2.776,2.585
113,5.785,2.828,3.384,1.506
114,4.616,3.699,4.029,1.508
115,4.425,3.286,4.002,3.136
116,5.59,3.939,2.559,2.04
117,6.616,4.282,2.642,2.893
118,7.22,2.775,1.637,1.919
119,6.731,1.88,3.338,3.108
120,6.439,3.294,1.924,1.225
121,6.318,3.076,1.272,0.717
122,6.174,2.463,2.353,0.99
123,5.447,2.906,2.048,1.921
124,6.89,5.299,1.897,0.696
125,4.961,1.91,1.601,0.811
126,6.411,2.055,1.011,1.168
127,5.678,4.116,1.007,1.607
128,7.174,3.603,2.874,0.231
129,3.751,2.836,2.458,0.426
130,3.43,3.261,1.689,5.431
131,4.717,3.448,0.296,4.767
132,5.288,4.329,2.297,4.952
133,5.143,2.22,1.525,5.156
134,2.948,3.434,0.671,7.364
135,3.636,3.299,2.765,4.641
136,4.598,2.928,1.629,5.895
137,5.154,3.319,0.106,5
138,4.972,2.84,2.105,5.36
139,4.406,3.2,2.66,6.015
140,3.541,1.224,2.795,4.424
141,5.33,3.21,1.607,5.051
142,4.538,2.15,2.079,5.06
143,3.82,3.769,2.074,4.599
144,3.125,2.366,3.018,5.876
145,1.964,3.608,1.826,6.264
146,4.545,3.676,1.814,4.998
147,3.454,1.324,1.754,4.661
