,0,1,2,3
0,3.629,3.183,2.87,7.929
1,3.833,4.641,2.295,7.76
2,3.542,4.51,3.419,8.189
3,3.187,3.334,3.643,8.72
4,4.883,3.872,3.552,7.569
5,4.288,4.014,2.392,7.972
6,4.175,4.209,3.483,8.15
7,3.316,4.19,3.151,7.587
8,4.165,4.054,1.952,8.175
9,4.038,4.597,3.545,7.645
10,3.681,3.715,3.532,8.189
11,4.279,3.636,2.473,7.939
12,3.657,4.231,2.699,7.477
13,4.264,3.966,2.805,7.383
14,3.827,3.672,2.788,9.102
15,3.889,4.346,2.869,8.16
16,3.547,4.166,3.611,7.806
17,4.8,4.638,2.682,8.14
18,3.723,3.585,2.485,7.222
19,4.19,4.433,3.522,8.12
20,6.422,4.388,4.353,1.5
21,6.899,5.04,3.302,-0.165
22,6.351,4.791,4.235,1.247
23,6.927,5.874,3.531,0.759
24,6.366,4.805,4.748,1.672
25,6.537,4.481,4.077,1.001
26,6.624,3.807,4.009,1.045
27,7.365,4.716,4.213,0.016
28,6.38,4.66,3.763,0.571
29,5.473,4.049,4.411,0.388
30,6.121,5.471,3.395,1.303
31,6.084,4.689,4.683,1.116
32,7.063,4.797,3.861,1.383
33,5.338,6.006,4.176,1.815
34,7.488,5.187,3.898,1.709
35,6.926,4.432,4.064,0.968
36,7.241,5.225,4.105,1.567
37,6.513,4.619,4.406,0.87
38,5.57,5.623,3.868,1.603
39,6.927,5.271,5.279,1.328
40,7.615,6.074,3.709,1.727
41,7.555,5.694,3.722,0.998
42,9.187,5.487,3.438,1.425
43,7.887,5.183,4.47,0.536
44,9.032,4.523,3.582,1.176
45,8.486,4.863,3.664,0.113
46,8.496,4.52,4.55,0.96
47,8.294,4.599,5.208,0.989
48,8.548,5.083,3.846,0.824
49,8.41,5.292,3.825,1.187
50,6.789,4.604,5.321,-0.236
51,7.724,5.6,3.788,0.644
52,7.762,5.592,4.009,1.259
53,7.732,5.041,3.653,1.817
54,7.85,5.178,4.086,1.113
55,7.813,4.187,4.568,1.452
56,8.289,3.873,4.311,0.295
57,7.014,5.121,4.631,1.169
58,7.511,4.464,3.348,1.885
59,7.612,5.314,3.982,1.129
60,3.776,9.009,6.606,5.237
61,3.824,8.166,7.259,6.27
62,4.032,7.884,6.594,6.131
63,4.625,7.996,6.627,5.434
64,4.066,8.733,6.646,6.517
65,3.316,8.055,6.928,6.161
66,4.302,8.009,7.047,5.165
67,3.219,8.545,7.545,6.102
68,3.573,8.393,8.113,5.774
69,4.184,7.825,7.8,5.647
70,3.932,8.769,5.922,6.583
71,3.733,8.172,6.957,5.608
72,3.734,8.1,5.639,6.116
73,3.856,7.449,7.307,6.043
74,4.266,8.003,7.407,5.258
75,5.661,7.933,7.182,6.393
76,4.815,7.589,7.023,6.189
77,3.096,8.493,6.351,7.202
78,4.483,8.141,6.577,5.754
79,3.842,7.387,6.888,6.179
80,4.217,8.383,7.281,5.784
81,4.204,8.545,7.888,6.194
82,4.044,8.21,7.233,5.837
83,4.68,7.548,6.175,5.806
84,3.377,7.431,6.866,5.229
85,4.04,6.934,7.854,6.149
86,3.805,7.559,7.17,6.022
87,3.589,7.918,7.407,6.635
88,3.527,8.196,6.001,7.029
89,3.629,6.984,6.254,5.348
90,3.674,9.192,6.007,5.567
91,4.254,8.319,7.871,5.513
92,4.413,8.304,6.191,6.922
93,2.868,7.976,7.742,6.019
94,4.636,8.391,6.727,5.613
95,3.72,8.233,6.865,5.696
96,4.022,7.575,6.28,6.117
97,3.684,8.198,6.722,5.921
98,3.528,8.042,6.93,6.275
99,3.742,9.177,7.087,5.319
