,0,1,2,3
0,2.591,3.922,3.123,7.175
1,3.167,3.952,3.144,6.562
2,3.48,5.067,3.033,7.252
3,3.655,3.089,2.378,8.644
4,2.978,3.786,2.76,8.858
5,3.262,4.706,3.273,8.355
6,3.748,4.43,2.659,7.17
7,2.795,2.68,3.463,8.0
8,3.544,3.939,2.796,7.813
9,4.003,4.325,1.261,9.363
10,3.181,4.035,4.14,8.68
11,4.117,4.432,3.282,6.944
12,3.793,3.136,1.323,7.151
13,2.635,4.989,2.513,7.362
14,4.988,2.961,3.181,7.689
15,1.904,3.152,1.65,7.994
16,4.013,4.693,2.978,8.715
17,4.741,4.774,2.368,7.361
18,3.69,4.798,3.338,7.443
19,4.385,3.7,2.247,8.793
20,4.94,4.824,3.392,8.604
21,3.615,4.528,2.077,6.854
22,3.435,5.151,2.783,7.626
23,5.164,3.538,3.182,8.469
24,3.987,4.404,3.872,8.602
25,4.236,3.091,1.673,6.866
26,4.46,2.686,2.918,7.897
27,3.261,3.016,4.335,8.983
28,3.142,2.871,0.634,7.506
29,4.165,5.046,3.242,6.67
30,3.275,3.643,1.59,6.669
31,3.992,4.459,1.699,7.99
32,4.418,3.143,2.807,9.114
33,4.029,3.247,3.301,7.926
34,4.492,4.583,3.227,7.356
35,4.699,4.652,2.6,8.074
36,3.644,3.945,1.632,7.897
37,3.472,2.265,4.274,7.003
38,4.424,3.168,3.056,8.253
39,4.451,2.912,1.708,9.543
40,3.693,3.075,3.269,8.874
41,3.673,4.029,2.426,7.199
42,3.634,3.82,2.696,9.103
43,1.953,3.356,1.74,8.652
44,4.827,4.208,3.077,6.209
45,2.746,3.405,2.562,7.236
46,4.183,4.171,2.49,8.419
47,3.879,4.393,2.814,8.602
48,4.275,3.972,4.007,7.749
49,4.27,3.704,1.852,8.426
50,3.417,2.962,3.433,9.045
51,4.54,4.28,2.947,6.461
52,4.479,2.653,2.365,9.228
53,3.611,4.889,3.176,6.511
54,3.993,4.025,3.192,7.39
55,4.33,3.394,1.906,6.043
56,3.358,3.429,2.829,7.99
57,5.555,2.912,2.77,8.798
58,4.741,4.06,3.244,7.813
59,3.384,2.967,3.483,8.522
60,3.062,4.109,2.502,8.819
61,4.435,4.282,3.829,7.796
62,4.586,3.436,3.724,6.776
63,3.694,4.225,2.08,7.878
64,3.725,3.023,2.244,7.033
65,3.347,3.041,2.918,8.238
66,3.462,3.93,2.861,8.437
67,5.497,4.719,3.237,7.435
68,4.658,4.067,3.437,9.817
69,3.6,4.363,3.127,7.48
70,4.267,4.525,3.968,7.908
71,4.632,3.761,2.192,6.488
72,4.92,3.985,3.519,8.222
73,4.696,3.401,2.313,7.68
74,4.176,3.956,3.499,7.923
75,5.853,2.958,3.524,6.959
76,4.255,4.056,2.891,8.403
77,3.853,4.755,2.644,7.654
78,5.108,3.739,3.175,7.613
79,2.747,4.051,3.178,7.035
80,4.646,3.733,4.204,8.136
81,4.169,3.118,3.244,7.368
82,5.1,4.047,4.297,8.08
83,4.981,4.382,4.614,6.022
84,3.333,3.203,3.269,8.707
85,2.626,3.055,2.658,8.397
86,5.202,2.021,2.933,7.129
87,3.895,4.376,2.71,8.183
88,4.039,3.602,3.561,8.518
89,3.502,4.43,3.044,9.017
90,3.742,5.068,3.066,8.648
91,3.318,4.782,4.308,9.143
92,5.851,6.451,3.119,7.605
93,2.836,3.51,3.373,8.827
94,3.651,3.208,3.531,8.239
95,4.952,3.37,3.067,7.966
96,3.967,3.74,3.384,8.323
97,3.636,3.991,3.221,8.385
98,5.214,4.083,3.472,8.016
99,3.168,3.675,3.01,6.451
100,7.96,4.878,3.134,1.111
101,6.966,4.428,3.714,2.398
102,7.334,4.913,5.058,0.296
103,6.216,3.38,2.9,1.509
104,8.29,4.513,4.761,0.208
105,6.862,4.464,3.939,1.819
106,6.741,3.773,5.183,1.094
107,6.283,6.299,3.017,0.379
108,6.512,4.095,2.582,1.864
109,7.304,4.239,4.373,1.344
110,7.33,4.686,4.643,-0.775
111,6.842,5.781,2.722,1.212
112,7.513,4.784,5.482,1.814
113,5.554,6.171,3.273,0.502
114,7.078,6.238,3.847,0.13
115,7.15,5.338,3.822,-0.103
116,7.318,4.211,3.172,-0.668
117,7.467,5.213,3.055,0.704
118,6.441,5.159,3.711,0.338
119,7.058,6.163,4.194,0.08
120,8.644,5.118,2.503,-0.483
121,6.42,5.624,3.997,1.744
122,7.548,4.788,3.355,1.33
123,6.484,3.882,4.665,-1.216
124,6.241,5.071,3.177,1.348
125,8.012,5.336,4.377,-0.002
126,7.629,5.049,2.849,-0.36
127,6.676,5.264,4.848,1.419
128,7.254,6.548,2.993,1.307
129,6.229,4.326,4.651,1.005
130,6.325,3.967,5.432,1.998
131,6.819,7.009,4.534,1.147
132,6.144,4.935,3.789,2.449
133,6.979,3.573,3.899,1.764
134,6.719,5.145,3.626,0.583
135,6.947,3.726,3.181,-0.319
136,5.67,5.362,4.932,1.296
137,6.974,5.743,4.345,0.857
138,5.473,6.128,3.621,1.318
139,6.902,6.073,3.687,1.233
140,6.704,5.753,3.325,1.029
141,7.409,6.234,3.819,0.421
142,7.245,5.297,4.118,1.709
143,7.274,5.095,3.346,0.524
144,7.146,4.32,4.437,1.559
145,7.013,5.558,5.757,-0.144
146,7.075,5.284,3.193,2.389
147,7.603,4.729,4.018,0.722
148,6.519,5.255,2.67,-0.321
149,6.514,4.791,4.469,1.235
150,8.273,4.96,3.976,1.425
151,7.742,4.612,4.039,1.252
152,4.886,5.685,3.853,0.7
153,6.141,5.032,3.068,1.88
154,7.764,5.026,3.656,1.619
155,6.319,5.742,3.122,0.341
156,6.458,5.059,3.816,0.807
157,7.786,4.226,3.905,1.847
158,5.896,5.806,4.5,0.482
159,5.519,6.257,3.712,0.913
160,7.244,5.312,4.193,0.782
161,7.537,6.051,3.948,-0.272
162,6.084,4.551,3.38,0.047
163,6.784,4.644,4.412,1.235
164,8.188,6.315,4.038,1.15
165,7.368,5.318,4.407,1.705
166,7.391,4.028,2.889,1.715
167,7.708,6.976,2.855,2.503
168,6.091,6.075,3.102,1.199
169,6.548,4.038,2.92,1.228
170,6.881,4.74,4.075,0.53
171,6.058,5.407,4.045,1.678
172,5.648,4.85,5.268,1.44
173,7.282,4.223,3.657,1.872
174,7.001,4.328,3.266,0.803
175,7.421,5.303,4.191,-0.421
176,6.989,5.814,6.942,-0.386
177,5.637,4.996,4.035,0.27
178,6.956,4.927,5.254,0.319
179,5.993,3.533,4.66,1.029
180,7.75,4.831,5.062,-0.743
181,6.788,5.487,3.843,-0.715
182,7.195,4.776,3.839,0.376
183,6.694,5.564,4.329,0.876
184,6.233,6.251,2.861,0.043
185,7.168,4.866,3.48,1.421
186,6.844,6.209,4.12,1.436
187,7.258,4.957,4.459,0.953
188,7.544,5.793,3.649,0.264
189,8.786,5.74,4.146,2.766
190,8.931,5.333,4.594,1.868
191,7.276,5.46,3.512,1.733
192,8.094,4.523,2.762,0.26
193,6.848,5.329,3.953,0.638
194,6.359,4.515,4.9,-1.266
195,7.618,5.668,5.325,1.565
196,6.927,4.438,4.494,1.297
197,6.892,5.429,4.236,1.011
198,5.754,3.564,2.877,-0.709
199,6.469,3.909,4.235,0.814
200,8.024,4.114,5.16,1.167
201,8.27,3.781,3.28,0.798
202,7.144,5.917,4.929,1.231
203,9.353,3.942,5.107,1.822
204,7.899,5.542,5.881,1.541
205,8.539,5.837,3.186,0.436
206,8.61,4.582,4.478,1.556
207,6.799,5.915,5.274,0.335
208,8.624,5.764,4.089,-0.592
209,7.517,4.707,1.979,0.098
210,7.575,5.058,3.438,0.116
211,6.629,4.983,4.486,0.352
212,6.637,5.096,4.791,0.789
213,8.753,6.083,2.917,1.797
214,8.863,4.485,3.576,1.91
215,7.036,5.029,4.545,1.055
216,8.915,4.264,3.885,0.556
217,6.414,4.866,3.428,2.63
218,9.072,2.938,4.125,0.47
219,8.711,5.312,3.79,0.234
220,8.025,4.05,2.597,0.368
221,7.528,5.281,4.294,1.111
222,8.503,4.823,4.025,2.01
223,7.429,5.528,3.945,1.56
224,7.067,4.968,3.319,0.105
225,8.315,6.166,2.226,1.463
226,8.696,5.382,3.953,-0.33
227,7.655,4.449,4.401,-1.565
